"","Var1","Var2","Freq","Var1.1","Var2.1","Freq.1","Var1.2","Var2.2","Freq.2"
"134","pH water  (pH)","FALSE",0,"pH water  (pH)","FALSE",0,"pH water  (pH)","FALSE",0
"135","Phenanthrene sediment  (ug/Kg)","FALSE",5,"Phenanthrene sediment  (ug/Kg)","FALSE",5,"Phenanthrene sediment  (ug/Kg)","FALSE",5
"136","Phenanthrene water  (ug/L)","FALSE",305,"Phenanthrene water  (ug/L)","FALSE",305,"Phenanthrene water  (ug/L)","FALSE",305
"137","Phenol sediment  (ug/Kg)","FALSE",28,"Phenol sediment  (ug/Kg)","FALSE",28,"Phenol sediment  (ug/Kg)","FALSE",28
"138","Phenol water  (ug/L)","FALSE",18,"Phenol water  (ug/L)","FALSE",18,"Phenol water  (ug/L)","FALSE",18
"139","Precipitation water  (in)","FALSE",0,"Precipitation water  (in)","FALSE",0,"Precipitation water  (in)","FALSE",0
"140","Prometon sediment  (ug/Kg)","FALSE",15,"Prometon sediment  (ug/Kg)","FALSE",15,"Prometon sediment  (ug/Kg)","FALSE",15
"141","Prometon water  (ug/L)","FALSE",585,"Prometon water  (ug/L)","FALSE",585,"Prometon water  (ug/L)","FALSE",585
"142","Pyrene sediment  (ug/Kg)","FALSE",4,"Pyrene sediment  (ug/Kg)","FALSE",4,"Pyrene sediment  (ug/Kg)","FALSE",4
"143","Pyrene water  (ug/L)","FALSE",232,"Pyrene water  (ug/L)","FALSE",232,"Pyrene water  (ug/L)","FALSE",633
"144","Sampled-Event Flow Volume water  (m3)","FALSE",0,"Sampled-Event Flow Volume water  (m3)","FALSE",0,"Sampled-Event Flow Volume water  (m3)","FALSE",0
"145","Sand sediment  (%)","FALSE",0,"Sand sediment  (%)","FALSE",0,"Sand sediment  (%)","FALSE",0
"146","Solids sediment  (%)","FALSE",0,"Solids sediment  (%)","FALSE",0,"Solids sediment  (%)","FALSE",0
"147","Storm Event Flow Volume water  (m3)","FALSE",0,"Storm Event Flow Volume water  (m3)","FALSE",0,"Storm Event Flow Volume water  (m3)","FALSE",0
"148","Surfactants water  (ug/L)","FALSE",222,"Surfactants water  (ug/L)","FALSE",222,"Surfactants water  (ug/L)","FALSE",222
"149","Toluene water  (ug/L)","FALSE",118,"Toluene water  (ug/L)","FALSE",118,"Toluene water  (ug/L)","FALSE",118
"150","Total Benzofluoranthenes sediment  (ug/Kg)","FALSE",9,"Total Benzofluoranthenes sediment  (ug/Kg)","FALSE",9,"Total Benzofluoranthenes sediment  (ug/Kg)","FALSE",9
