"","parameter","method","x.NAs","x.count","x.quant.0%","x.quant.25%","x.quant.50%","x.quant.75%","x.quant.100%"
"157","Malathion","COMP-CT-VPFVI",4.000000e+00,3.200000e+01,5.160000e-08,1.378800e-07,2.615700e-07,1.844925e-06,2.479500e-05
"158","Mecoprop","COMP-CT-VPFVI",4.000000e+00,3.200000e+01,2.107000e-07,4.794000e-07,8.128000e-07,1.374400e-06,6.612000e-06
"159","Mercury","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,1.972000e-08,4.595000e-08,7.302000e-08,1.560600e-07,1.239750e-06
"160","Mercury dissolved","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,5.790000e-09,3.172000e-08,4.730000e-08,1.065900e-07,5.785500e-07
"161","Naphthalene","COMP-CT-VPFVI",4.000000e+00,3.200000e+01,2.150000e-07,5.708725e-07,9.935000e-07,1.636260e-06,8.265000e-06
"162","Nitrite-Nitrate","COMP-CT-VPFVI",4.000000e+00,3.100000e+01,6.060000e-05,6.257700e-04,1.285900e-03,2.532985e-03,3.253800e-01
"163","Ortho-phosphate","COMP-CT-VPFVI",4.000000e+00,2.900000e+01,3.472000e-05,1.039500e-04,1.672200e-04,3.396000e-04,3.056800e-03
"164","Pentachlorophenol","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,5.783500e-07,2.656940e-06,6.701400e-06,1.327040e-05,6.926070e-05
"165","Phenanthrene","COMP-CT-VPFVI",4.000000e+00,3.200000e+01,2.150000e-07,5.925000e-07,9.240000e-07,1.614000e-06,8.265000e-06
"166","Prometon","COMP-CT-VPFVI",4.000000e+00,3.200000e+01,5.160000e-08,1.378800e-07,2.615700e-07,1.752375e-06,9.918000e-06
"167","Pyrene","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,2.150000e-07,5.610000e-07,9.860000e-07,1.698000e-06,8.265000e-06
"168","Surfactants","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,9.700000e-05,5.373000e-04,1.201200e-03,1.907400e-03,1.653000e-02
"169","Total Kjeldahl Nitrogen","COMP-CT-VPFVI",4.000000e+00,3.000000e+01,1.075000e-03,3.152750e-03,5.818000e-03,1.292625e-02,4.132500e-02
"170","Total Phosphorus","COMP-CT-VPFVI",4.000000e+00,2.900000e+01,4.300000e-05,1.925000e-04,3.172000e-04,9.180000e-04,3.967200e-03
"171","Total Suspended Solids","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,1.376000e-02,5.605600e-02,1.744200e-01,2.886600e-01,3.200400e+00
"172","Triclopyr","COMP-CT-VPFVI",4.000000e+00,3.200000e+01,2.107000e-07,4.794000e-07,8.128000e-07,1.374400e-06,6.612000e-06
"173","Zinc","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,3.913000e-04,1.280400e-03,2.232840e-03,3.514820e-03,2.372055e-02
"174","Zinc dissolved","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,2.580000e-04,9.176000e-04,1.474560e-03,2.385320e-03,2.148900e-02
"175","1-Methylnaphthalene","COMP-CV-CFVI",4.000000e+00,2.520000e+02,2.653567e-07,7.123211e-06,4.613090e-05,1.872314e-04,4.733119e-03
"176","2-Methylnaphthalene","COMP-CV-CFVI",1.400000e+01,5.630000e+02,2.000000e-08,5.830288e-06,2.967006e-05,1.420144e-04,2.153575e-02
"177","2,4-D","COMP-CV-CFVI",1.400000e+01,5.220000e+02,2.122854e-07,1.653030e-05,5.144070e-05,3.101029e-04,3.186899e-01
"178","Acenaphthene","COMP-CV-CFVI",1.400000e+01,5.630000e+02,2.000000e-08,5.617487e-06,2.782732e-05,1.183641e-04,2.895619e-03
"179","Acenaphthylene","COMP-CV-CFVI",1.400000e+01,5.630000e+02,2.000000e-08,4.692773e-06,2.384112e-05,1.203322e-04,2.743218e-03
